City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Antalaha,MG,-14.9003,50.2788,76.05,85,98,4.45,light rain
81,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,40,14.97,snow
82,Esperance,AU,-33.8667,121.9,62.6,94,90,4.61,overcast clouds
83,Shubarshi,KZ,48.5872,57.1869,8.53,90,0,8.05,clear sky
84,Puerto Ayora,EC,-0.7393,-90.3518,86.0,74,20,6.91,few clouds
85,Bathsheba,BB,13.2167,-59.5167,82.4,57,20,21.85,few clouds
86,Avarua,CK,-21.2078,-159.775,82.4,83,20,4.61,few clouds
87,Pokrovsk,UA,48.282,37.1758,28.9,90,5,18.16,clear sky
88,Sobolevo,RU,54.4299,31.8996,22.14,94,86,12.01,overcast clouds
89,Loreto,MX,22.2667,-101.9667,82.74,13,67,18.57,broken clouds
90,Zaltan,LY,32.947,11.8665,64.2,62,90,25.66,overcast clouds
91,Ushuaia,AR,-54.8,-68.3,46.4,66,40,29.93,scattered clouds
92,Grand Gaube,MU,-20.0064,57.6608,80.01,81,69,14.12,broken clouds
93,Severo-Kurilsk,RU,50.6789,156.125,15.22,91,95,26.02,light snow
94,Norman Wells,CA,65.282,-126.8329,-0.4,65,75,18.41,broken clouds
95,Mahebourg,MU,-20.4081,57.7,77.0,88,40,5.75,light rain
96,Bubaque,GW,11.2833,-15.8333,76.57,70,77,14.79,broken clouds
97,Port Hardy,CA,50.6996,-127.4199,46.4,71,75,14.97,light rain
98,Rocha,UY,-34.4833,-54.3333,74.46,68,10,8.9,clear sky
99,Elbistan,TR,38.2059,37.1983,40.87,83,50,1.86,scattered clouds
100,Iwanai,JP,42.9744,140.5089,30.7,92,98,11.79,light snow
101,Pelym,RU,61.0108,61.9978,-2.96,93,90,1.16,overcast clouds
102,Svetlyy,RU,54.675,20.1347,32.0,74,75,13.42,light snow
103,Bluff,NZ,-46.6,168.3333,55.0,63,91,13.0,overcast clouds
104,Washington,US,47.5001,-120.5015,46.0,48,66,5.99,broken clouds
105,Hambantota,LK,6.1241,81.1185,78.48,84,87,11.14,overcast clouds
106,Skagen,DK,57.7209,10.5839,37.99,57,29,13.0,scattered clouds
107,Bonavista,CA,48.6499,-53.1147,32.0,64,27,11.5,scattered clouds
108,Ngunguru,NZ,-35.6167,174.5,66.99,67,32,7.0,scattered clouds
109,Tuatapere,NZ,-46.1333,167.6833,55.0,63,89,13.0,overcast clouds
110,Oranjestad,AW,12.524,-70.027,82.4,83,75,17.27,broken clouds
111,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-11.2,64,0,8.95,clear sky
112,Matadi,CD,-5.8167,13.45,78.03,86,74,2.68,broken clouds
113,Filadelfia,US,39.9523,-75.1638,44.01,26,1,10.36,clear sky
114,Durant,US,33.994,-96.3708,68.0,30,1,10.36,clear sky
115,Kahului,US,20.8947,-156.47,78.8,57,40,18.41,scattered clouds
116,Thompson,CA,55.7435,-97.8558,39.2,70,75,5.75,broken clouds
117,Soyo,AO,-6.1349,12.3689,79.66,89,87,5.68,overcast clouds
118,Kabinda,CD,-6.1333,24.4833,63.7,99,100,3.67,overcast clouds
119,Dikson,RU,73.5069,80.5464,-17.01,88,99,9.93,overcast clouds
120,Cape Town,ZA,-33.9258,18.4232,62.6,72,0,12.66,clear sky
121,Mersing,MY,2.4312,103.8405,73.4,94,95,5.75,overcast clouds
122,Saldanha,ZA,-33.0117,17.9442,60.8,72,51,5.75,broken clouds
123,Dharchula,IN,29.85,80.5333,56.07,57,100,5.97,overcast clouds
124,Georgetown,MY,5.4112,100.3354,80.01,94,20,3.44,few clouds
125,Nioro,GM,13.35,-15.75,81.16,25,0,7.25,clear sky
126,Alice Springs,AU,-23.7,133.8833,73.4,35,45,6.91,scattered clouds
127,Andenes,NO,69.3143,16.1194,28.99,93,75,10.36,light snow
128,Kapaa,US,22.0752,-159.319,75.2,69,40,13.8,light rain
129,Rawson,AR,-43.3002,-65.1023,82.27,17,4,34.65,clear sky
130,Shache,CN,38.4167,77.2406,45.19,51,100,3.02,overcast clouds
