City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Butaritari,KI,2021-03-04 20:43:13,3.0707,172.7902,81.68,79,97,19.35
68,Gashua,NG,2021-03-04 20:43:14,12.871,11.0482,75.18,17,0,9.57
69,Koumac,NC,2021-03-04 20:43:14,-20.5667,164.2833,79.9,77,77,9.71
70,Yar-Sale,RU,2021-03-04 20:43:14,66.8333,70.8333,9.41,96,100,7.45
71,Goderich,CA,2021-03-04 20:43:15,43.7501,-81.7165,21.2,68,1,18.41
72,Lompoc,US,2021-03-04 20:43:15,34.6391,-120.4579,61.0,51,1,11.5
73,Bethel,US,2021-03-04 20:38:40,41.3712,-73.414,39.2,35,75,14.97
74,Pisco,PE,2021-03-04 20:43:15,-13.7,-76.2167,82.4,61,20,8.05
75,Porto Walter,BR,2021-03-04 20:43:16,-8.2686,-72.7439,81.37,92,100,2.39
76,Esperance,AU,2021-03-04 20:38:30,-33.8667,121.9,64.4,88,75,6.91
77,Dandong,CN,2021-03-04 20:43:16,40.1292,124.3947,38.28,96,99,4.56
78,Bandarbeyla,SO,2021-03-04 20:43:16,9.4942,50.8122,76.03,79,100,10.74
79,Saint-Pierre,RE,2021-03-04 20:43:17,-21.3393,55.4781,78.8,78,20,4.61
80,Muriae,BR,2021-03-04 20:43:17,-21.1306,-42.3664,77.54,84,67,2.26
81,Nikolskoye,RU,2021-03-04 20:43:17,59.7035,30.7861,26.6,59,75,13.42
82,Suriapet,IN,2021-03-04 20:43:17,17.15,79.6167,67.37,63,0,4.52
83,Arraial Do Cabo,BR,2021-03-04 20:43:18,-22.9661,-42.0278,86.0,65,0,14.97
84,Svetlyy,RU,2021-03-04 20:43:18,54.675,20.1347,33.8,69,20,13.42
85,Portland,US,2021-03-04 20:40:35,45.5234,-122.6762,59.0,54,40,14.97
86,Kahului,US,2021-03-04 20:43:19,20.8947,-156.47,75.2,57,20,16.11
87,San Rafael,AR,2021-03-04 20:43:19,-34.6177,-68.3301,93.02,21,22,12.73
88,Las Vegas,US,2021-03-04 20:41:46,36.175,-115.1372,64.99,27,1,12.66
89,Lavrentiya,RU,2021-03-04 20:43:20,65.5833,-171.0,2.79,93,100,26.26
90,Norman Wells,CA,2021-03-04 20:43:20,65.282,-126.8329,-9.4,77,75,8.05
91,Tezu,IN,2021-03-04 20:43:20,27.9167,96.1667,64.4,49,100,2.35
92,Vestmannaeyjar,IS,2021-03-04 20:43:21,63.4427,-20.2734,40.46,74,77,5.68
93,San-Pedro,CI,2021-03-04 20:43:21,4.7485,-6.6363,78.94,88,54,8.88
94,Torbay,CA,2021-03-04 20:43:21,47.6666,-52.7314,34.0,74,75,19.57
95,Kankan,GN,2021-03-04 20:43:22,10.3854,-9.3057,89.33,20,37,3.18
96,Thompson,CA,2021-03-04 20:43:22,55.7435,-97.8558,26.6,59,20,3.4
97,Christchurch,NZ,2021-03-04 20:41:00,-43.5333,172.6333,50.0,87,2,1.14
98,Micheweni,TZ,2021-03-04 20:43:23,-4.9667,39.8333,81.14,76,100,12.5
99,Montrose,US,2021-03-04 20:42:30,38.4166,-108.2673,48.99,32,41,4.0
100,Bonfim,BR,2021-03-04 20:43:23,3.0833,-59.95,93.09,38,91,8.63
101,Takoradi,GH,2021-03-04 20:43:23,4.8845,-1.7554,80.49,88,53,10.04
102,Chuy,UY,2021-03-04 20:43:23,-33.6971,-53.4616,73.45,87,100,8.37
103,Ardakan,IR,2021-03-04 20:43:24,32.31,54.0175,59.0,33,20,2.3
104,Sao Joao Da Barra,BR,2021-03-04 20:43:24,-21.6403,-41.0511,84.2,65,0,16.11
105,Jamestown,US,2021-03-04 20:41:38,42.097,-79.2353,26.01,68,40,13.65
106,Sisimiut,GL,2021-03-04 20:43:24,66.9395,-53.6735,26.71,90,100,11.14
107,Dwarka,IN,2021-03-04 20:39:14,22.2394,68.9678,75.9,73,0,8.86
108,Lamu,KE,2021-03-04 20:43:25,-2.2717,40.902,77.85,86,84,11.32
109,Vao,NC,2021-03-04 20:43:25,-22.6667,167.4833,76.96,80,96,14.47
110,Vostok,RU,2021-03-04 20:43:26,46.4856,135.8833,27.55,98,86,6.8
111,Guider,CM,2021-03-04 20:43:26,9.9342,13.9486,82.11,15,50,10.04
112,Baie-Comeau,CA,2021-03-04 20:43:27,49.2168,-68.1489,15.8,57,90,8.05
113,Upernavik,GL,2021-03-04 20:43:27,72.7868,-56.1549,-14.04,82,64,16.13
114,Magadan,RU,2021-03-04 20:43:27,59.5667,150.8,-20.47,84,61,1.86
115,Tiksi,RU,2021-03-04 20:43:28,71.6872,128.8694,-23.24,99,98,5.03
116,Magan,ES,2021-03-04 20:43:28,39.9683,-3.931,54.0,67,89,8.12
117,Matara,LK,2021-03-04 20:43:28,5.9485,80.5353,73.04,80,0,6.67
118,Lusambo,CD,2021-03-04 20:43:29,-4.9667,23.45,73.87,76,72,0.51
119,Nome,US,2021-03-04 20:43:29,64.5011,-165.4064,1.99,85,90,33.38
120,Ormara,PK,2021-03-04 20:43:29,25.2088,64.6357,76.23,71,0,5.93
121,Mayor Pablo Lagerenza,PY,2021-03-04 20:43:30,-19.9309,-60.7718,85.23,60,97,8.61
122,Tasiilaq,GL,2021-03-04 20:43:30,65.6145,-37.6368,32.0,93,90,1.14
123,Toora-Khem,RU,2021-03-04 20:43:30,52.4675,96.11,-2.18,89,0,2.33
124,Rumphi,MW,2021-03-04 20:43:30,-11.0186,33.8575,64.29,95,49,1.72
125,Kodiak,US,2021-03-04 20:43:31,57.79,-152.4072,33.8,51,1,11.5
126,Naze,JP,2021-03-04 20:42:14,28.3667,129.4833,61.12,83,87,14.05
127,Santo Antonio Do Ica,BR,2021-03-04 20:43:31,-3.1022,-67.9397,76.3,95,96,5.57
128,Craig,US,2021-03-04 20:43:31,40.5153,-107.5464,37.4,87,90,2.91
129,Maldonado,UY,2021-03-04 20:43:32,-34.6667,-54.9167,75.99,85,100,3.0
130,Urumqi,CN,2021-03-04 20:43:32,43.801,87.6005,23.0,93,0,4.47
131,Gat,IL,2021-03-04 20:43:32,31.61,34.7642,53.01,100,6,1.01
132,Kavaratti,IN,2021-03-04 20:43:33,10.5669,72.642,82.72,54,0,1.54
133,Abha,SA,2021-03-04 20:43:33,18.2164,42.5053,60.8,88,0,5.75
134,Tuatapere,NZ,2021-03-04 20:43:34,-46.1333,167.6833,55.99,72,83,5.99
135,Tolaga Bay,NZ,2021-03-04 20:43:34,-38.3667,178.3,71.01,54,54,4.47
136,Hobart,AU,2021-03-04 20:41:24,-42.8794,147.3294,53.6,54,40,14.97
137,Rantauprapat,ID,2021-03-04 20:43:34,2.1,99.8333,73.89,91,14,2.28
138,Ciudad Bolivar,VE,2021-03-04 20:43:35,8.1222,-63.5497,90.0,47,89,9.75
139,Bom Jesus,BR,2021-03-04 20:43:35,-9.0744,-44.3586,78.53,81,87,2.13
140,Saint George,US,2021-03-04 20:40:49,37.1041,-113.5841,61.0,41,20,8.05
141,Los Llanos De Aridane,ES,2021-03-04 20:43:35,28.6585,-17.9182,66.2,72,20,4.61
142,Mabaruma,GY,2021-03-04 20:43:36,8.2,-59.7833,77.11,93,93,4.85
143,Anloga,GH,2021-03-04 20:43:36,5.7947,0.8973,82.49,82,91,17.29
144,Port Augusta,AU,2021-03-04 20:43:37,-32.5,137.7667,57.2,88,0,8.05
145,Alugan,PH,2021-03-04 20:43:37,12.2188,125.4808,79.25,80,54,11.59
146,Morro Bay,US,2021-03-04 20:43:37,35.3658,-120.8499,64.99,79,0,4.0
147,Baykit,RU,2021-03-04 20:43:37,61.67,96.37,-2.42,99,100,3.22
148,Severo-Kurilsk,RU,2021-03-04 20:43:38,50.6789,156.125,30.99,97,90,20.96
149,Conceicao Do Araguaia,BR,2021-03-04 20:43:38,-8.2578,-49.2647,80.24,85,92,0.45
150,Mahebourg,MU,2021-03-04 20:43:38,-20.4081,57.7,75.2,88,20,6.91
151,Aromashevo,RU,2021-03-04 20:43:38,56.8602,68.6375,19.42,97,66,11.54
152,Asfi,MA,2021-03-04 20:43:39,32.2994,-9.2372,60.84,82,100,8.16
153,Pitimbu,BR,2021-03-04 20:43:39,-7.4706,-34.8086,78.8,89,75,14.97
154,Batan,CR,2021-03-04 20:43:39,10.0844,-83.341,84.2,58,75,13.8
155,Mercedes,AR,2021-03-04 20:43:40,-34.6515,-59.4307,86.0,60,36,1.99
156,Longyearbyen,SJ,2021-03-04 20:40:41,78.2186,15.6401,-0.4,71,20,12.66
157,Kavieng,PG,2021-03-04 20:43:40,-2.5744,150.7967,82.94,77,100,9.73
158,Banda Aceh,ID,2021-03-04 20:40:12,5.5577,95.3222,79.47,82,6,6.31
159,Iqaluit,CA,2021-03-04 20:43:41,63.7506,-68.5145,21.2,53,90,12.66
160,Cockburn Town,TC,2021-03-04 20:43:41,21.4612,-71.1419,80.6,69,40,10.36
161,Krasnovishersk,RU,2021-03-04 20:43:41,60.4078,57.082,14.92,96,100,4.97
162,Lebu,CL,2021-03-04 20:43:41,-37.6167,-73.65,63.18,73,0,17.07
163,Borda Da Mata,BR,2021-03-04 20:43:42,-22.2742,-46.1653,75.2,64,75,1.05
164,Chapleau,CA,2021-03-04 20:43:42,47.8405,-83.4034,15.8,45,1,8.05
165,Khatanga,RU,2021-03-04 20:43:42,71.9667,102.5,-28.17,78,0,11.43
166,Malakal,SS,2021-03-04 20:40:00,9.5334,31.6605,82.36,11,0,6.67
167,Vaini,TO,2021-03-04 20:43:43,-21.2,-175.2,80.6,83,75,5.75
168,Vardo,NO,2021-03-04 20:43:43,70.3705,31.1107,24.8,74,40,18.41
169,Katsuura,JP,2021-03-04 20:43:43,35.1333,140.3,51.8,82,75,4.61
170,Barrow,US,2021-03-04 20:43:43,71.2906,-156.7887,-25.6,68,1,13.8
171,Mar Del Plata,AR,2021-03-04 20:39:11,-38.0023,-57.5575,75.2,83,75,10.36
172,Senovo,SI,2021-03-04 20:43:44,46.0236,15.4769,46.4,61,0,6.91
173,Karratha,AU,2021-03-04 20:43:44,-20.7377,116.8463,77.76,61,11,13.58
174,Nara,JP,2021-03-04 20:43:45,34.6851,135.8049,51.8,87,75,6.91
175,Aswan,EG,2021-03-04 20:43:45,24.0934,32.907,56.8,35,0,12.86
176,Fare,PF,2021-03-04 20:43:45,-16.7,-151.0167,82.51,77,100,12.06
177,Airai,TL,2021-03-04 20:43:45,-8.9266,125.4092,58.8,91,9,1.5
178,Oktyabrskoye,RU,2021-03-04 20:43:46,43.0645,44.7417,26.6,86,0,6.71
179,Hilo,US,2021-03-04 20:43:06,19.7297,-155.09,77.0,57,1,9.22
180,Oyama,JP,2021-03-04 20:43:46,36.3,139.8,52.0,93,75,1.14
181,Alhama De Murcia,ES,2021-03-04 20:43:47,37.851,-1.4251,57.99,86,22,1.01
182,Van,TR,2021-03-04 20:43:47,38.4924,43.3831,32.0,100,90,5.3
183,Waipawa,NZ,2021-03-04 20:43:47,-41.4122,175.5153,63.0,59,9,17.27
184,Galle,LK,2021-03-04 20:43:47,6.0367,80.217,75.04,81,0,6.02
185,Pevek,RU,2021-03-04 20:43:48,69.7008,170.3133,-1.66,91,100,4.88
186,Krasnokamensk,RU,2021-03-04 20:43:48,50.0979,118.0369,-17.77,73,0,4.59
187,Broome,US,2021-03-04 20:43:48,42.2506,-75.833,27.0,54,20,19.57
188,Goure,NE,2021-03-04 20:43:48,13.9835,10.2704,80.01,10,0,5.99
189,Georgetown,MY,2021-03-04 20:43:30,5.4112,100.3354,80.6,89,20,3.44
190,Saskylakh,RU,2021-03-04 20:43:49,71.9167,114.0833,-33.41,95,85,6.6
191,Mathbaria,BD,2021-03-04 20:43:49,22.2876,89.9593,68.25,91,0,5.59
192,Werota,ET,2021-03-04 20:43:49,11.9167,37.7,74.1,36,96,6.67
193,Chokurdakh,RU,2021-03-04 20:43:49,70.6333,147.9167,-10.55,95,100,22.37
194,Sorgun,TR,2021-03-04 20:43:50,39.8101,35.186,32.56,86,0,3.15
195,Bredasdorp,ZA,2021-03-04 20:43:50,-34.5322,20.0403,60.8,94,26,1.14
196,Sitka,US,2021-03-04 20:43:50,57.0531,-135.33,37.4,81,75,5.75
197,Grand Gaube,MU,2021-03-04 20:43:51,-20.0064,57.6608,75.0,81,75,4.0
198,Savannah Bight,HN,2021-03-04 20:43:51,16.45,-85.85,82.4,69,75,3.44
199,Dafeng,CN,2021-03-04 20:43:51,23.4517,108.5881,61.23,84,100,2.33
200,Sao Filipe,CV,2021-03-04 20:43:52,14.8961,-24.4956,71.56,73,100,12.93
201,Paamiut,GL,2021-03-04 20:43:52,61.994,-49.6678,41.99,55,100,10.92
202,Axim,GH,2021-03-04 20:43:52,4.8699,-2.2405,80.69,87,0,9.64
203,Ancud,CL,2021-03-04 20:43:52,-41.8697,-73.8203,73.4,46,0,8.05
